keyword,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address,listing_by
"Shoreview, MN",https://photos.zillowstatic.com/fp/360cb3d4d54f0b99c80d85e286e0d282-p_e.jpg,https://www.zillow.com/homedetails/517-Lake-Ridge-Dr-Shoreview-MN-55126/81751068_zpid/,"$849,900",4,5,3781,House for sale,"517 Lake Ridge Dr, Shoreview, MN 55126",LaBelle Real Estate Group Inc
"Shoreview, MN",https://photos.zillowstatic.com/fp/057dedcbd617b59db7dc972e52a6f40c-p_e.jpg,https://www.zillow.com/homedetails/225-Sherwood-Rd-Shoreview-MN-55126/2032562_zpid/,"$669,000",6,3,3840,House for sale,"225 Sherwood Rd, Shoreview, MN 55126",Pro Flat Fee Realty LLC
"Shoreview, MN",https://photos.zillowstatic.com/fp/dd312d9edc1c4b8f2b66de3caf1d042e-p_e.jpg,https://www.zillow.com/homedetails/4400-Snail-Lake-Blvd-Shoreview-MN-55126/2121022_zpid/,"$539,900",4,2,2523,House for sale,"4400 Snail Lake Blvd, Shoreview, MN 55126",Coldwell Banker Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/94d745c20bc68d279a5daca30b3f3cf0-p_e.jpg,https://www.zillow.com/homedetails/4020-Mackubin-St-Shoreview-MN-55126/2125184_zpid/,"$419,900",4,2,2080,House for sale,"4020 Mackubin St, Shoreview, MN 55126",eXp Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/ac6a5d0ca372631bac46873a42b3b5e1-p_e.jpg,https://www.zillow.com/homedetails/1075-Lake-Oaks-Dr-Shoreview-MN-55126/2074303_zpid/,"$795,000",5,5,4526,House for sale,"1075 Lake Oaks Dr, Shoreview, MN 55126",Coldwell Banker Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/5f14204a053863fc19f918a4a801b1d8-p_e.jpg,https://www.zillow.com/homedetails/3134-Victoria-St-N-Shoreview-MN-55126/2161066_zpid/,"$599,900",5,3,2770,House for sale,"3134 Victoria St N, Shoreview, MN 55126",Coldwell Banker Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/3e8e3300a62b55a2db94a1feefbb5cd2-p_e.jpg,https://www.zillow.com/homedetails/5694-Donegal-Dr-Shoreview-MN-55126/2033062_zpid/,"$455,000",3,2,2257,Townhouse for sale,"5694 Donegal Dr, Shoreview, MN 55126",RE/MAX Synergy
"Shoreview, MN",https://photos.zillowstatic.com/fp/27e72dc2e3b4426cd9c8b8e2fac4bd04-p_e.jpg,https://www.zillow.com/homedetails/3477-Chatsworth-St-N-Shoreview-MN-55126/2160583_zpid/,"$425,000",3,2,1320,House for sale,"3477 Chatsworth St N, Shoreview, MN 55126","Edina Realty, Inc."
"Shoreview, MN",https://photos.zillowstatic.com/fp/64a2a43860e42a2c1b26124b6752225a-p_e.jpg,https://www.zillow.com/homedetails/224-N-Owasso-Blvd-Shoreview-MN-55126/2164224_zpid/,"$395,000",4,2,2143,House for sale,"224 N Owasso Blvd, Shoreview, MN 55126",Empire Realty LLC
"Shoreview, MN",https://photos.zillowstatic.com/fp/765f288a1b92080e77abc5de5f605676-p_e.jpg,https://www.zillow.com/homedetails/3192-Hafner-Ct-Shoreview-MN-55126/2160945_zpid/,"$444,900",4,3,2112,House for sale,"3192 Hafner Ct, Shoreview, MN 55126",RE/MAX Results
"Shoreview, MN",https://photos.zillowstatic.com/fp/5eb2aaf865125eef199acae8ae57a7a4-p_e.jpg,https://www.zillow.com/homedetails/171-Galtier-Pl-Shoreview-MN-55126/2120627_zpid/,"$315,000",3,2,1608,Townhouse for sale,"171 Galtier Pl, Shoreview, MN 55126",eXp Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/259f0eba3b9ce797a5789c8a70cb3af4-p_e.jpg,https://www.zillow.com/homedetails/675-Sunset-Ct-Shoreview-MN-55126/81751464_zpid/,"$2,750,000",4,4,4200,House for sale,"675 Sunset Ct, Shoreview, MN 55126",Engel & Volkers Lake Minnetonka
"Shoreview, MN",https://photos.zillowstatic.com/fp/f3da60c71886f0f0c6df78e97c726398-p_e.jpg,https://www.zillow.com/homedetails/3425-Victoria-St-N-Shoreview-MN-55126/2160318_zpid/,"$375,000",4,2,1551,House for sale,"3425 Victoria St N, Shoreview, MN 55126",eXp Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/cafa0fa1428dac23da1b829275500c08-p_e.jpg,https://www.zillow.com/homedetails/1014-Carmel-Ct-Shoreview-MN-55126/2085791_zpid/,"$219,900",2,1,962,Townhouse for sale,"1014 Carmel Ct, Shoreview, MN 55126",RE/MAX Professionals
"Shoreview, MN",https://photos.zillowstatic.com/fp/26c348030889cb526ac9cd511f7c7133-p_e.jpg,https://www.zillow.com/homedetails/5315-Hodgson-Rd-Shoreview-MN-55126/2074165_zpid/,"$3,495,000",5,5,6140,House for sale,"5315 Hodgson Rd, Shoreview, MN 55126",Coldwell Banker Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/960214e53ae9ff534dbd580744262f84-p_e.jpg,https://www.zillow.com/homedetails/1066-Carlton-Dr-Shoreview-MN-55126/2160792_zpid/,"$399,900",3,3,2224,House for sale,"1066 Carlton Dr, Shoreview, MN 55126","Boardwalk Premier Realty, Inc."
"Shoreview, MN",https://photos.zillowstatic.com/fp/fdeb0c5c081b1c08c1fd535ffc45ed04-p_e.jpg,https://www.zillow.com/homedetails/4748-Cumberland-St-Shoreview-MN-55126/64862685_zpid/,"$689,900",3,3,3305,Townhouse for sale,"4748 Cumberland St, Shoreview, MN 55126",Keller Williams Premier Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/b2bc2d4445caa4f0979e64979022d90e-p_e.jpg,https://www.zillow.com/homedetails/5860-Hodgson-Rd-Shoreview-MN-55126/2032757_zpid/,"$389,900",3,2,2101,House for sale,"5860 Hodgson Rd, Shoreview, MN 55126",Realty Executives Top Results
"Shoreview, MN",https://photos.zillowstatic.com/fp/be8e2d1da440e979b9c7767c3a3deb66-p_e.jpg,https://www.zillow.com/homedetails/4132-Victoria-St-N-Saint-Paul-MN-55126/2056576342_zpid/,"$899,000",4,3,2973,New construction,"4132 Victoria St N, Saint Paul, MN 55126","Counselor Realty, Inc."
"Shoreview, MN",https://photos.zillowstatic.com/fp/c55559e6ce79e567e0ad51b1bc00b821-p_e.jpg,https://www.zillow.com/homedetails/179-Galtier-Pl-Shoreview-MN-55126/2120623_zpid/,"$339,900",3,2,1566,Coming soon,"179 Galtier Pl, Shoreview, MN 55126",eXp Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/1eda521e0f90ed59f19974505b41c666-p_e.jpg,https://www.zillow.com/homedetails/980-Sherwood-Rd-Shoreview-MN-55126/2039290_zpid/,"$599,000",4,3,3500,Coming soon,"980 Sherwood Rd, Shoreview, MN 55126",RE/MAX Advantage Plus
"Shoreview, MN",https://photos.zillowstatic.com/fp/20717f4a47e396cf1e55378a5df14c8a-p_e.jpg,https://www.zillow.com/homedetails/1777-Hillview-Rd-Shoreview-MN-55126/2048096_zpid/,"$335,000",3,1,1925,House for sale,"1777 Hillview Rd, Shoreview, MN 55126","Opendoor Brokerage, LLC"
"Shoreview, MN",https://photos.zillowstatic.com/fp/e0afdc138d9f2339dbfc681180e46c52-p_e.jpg,https://www.zillow.com/homedetails/1203-Silverthorn-Ct-Shoreview-MN-55126/2044548_zpid/,"$435,000",2,2,1974,Townhouse for sale,"1203 Silverthorn Ct, Shoreview, MN 55126",Coldwell Banker Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/d93bf265f1c68e2f3398463ba0fc3875-p_e.jpg,https://www.zillow.com/homedetails/266-Poplar-Dr-Shoreview-MN-55126/2033403_zpid/,"$433,000",3,3,1726,House for sale,"266 Poplar Dr, Shoreview, MN 55126","Opendoor Brokerage, LLC"
"Shoreview, MN",https://photos.zillowstatic.com/fp/36f1c7bbef6cb882619110d4c2e24b51-p_e.jpg,https://www.zillow.com/homedetails/1321-Silverthorn-Dr-Shoreview-MN-55126/2044625_zpid/,"$435,000",2,2,1974,Townhouse for sale,"1321 Silverthorn Dr, Shoreview, MN 55126","Edina Realty, Inc."
"Shoreview, MN",https://photos.zillowstatic.com/fp/a8ffbfbb8826fa9457aa77337bc3d17b-p_e.jpg,https://www.zillow.com/homedetails/1151-Lois-Ct-Shoreview-MN-55126/2044525_zpid/,"$429,900",2,2,1853,Townhouse for sale,"1151 Lois Ct, Shoreview, MN 55126",eXp Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/71373aa519d16098fcc9486f3c619f84-p_e.jpg,https://www.zillow.com/homedetails/5609-Pascal-St-Shoreview-MN-55126/2044362_zpid/,"$449,900",5,2,1689,House for sale,"5609 Pascal St, Shoreview, MN 55126",RE/MAX Results
"Shoreview, MN",https://photos.zillowstatic.com/fp/0736ef311eeeb3e158a1dce8590d5392-p_e.jpg,https://www.zillow.com/homedetails/3431-Kent-St-APT-716-Shoreview-MN-55126/2163973_zpid/,"$128,000",1,1,668,Condo for sale,"3431 Kent St APT 716, Shoreview, MN 55126",Fish MLS Realty
"Shoreview, MN",https://photos.zillowstatic.com/fp/17a832d3fa8d80c7c19b0dd144aff504-p_e.jpg,https://www.zillow.com/homedetails/4151-Rice-St-Shoreview-MN-55126/2121321_zpid/,"$1,600,000",4,4,6418,House for sale,"4151 Rice St, Shoreview, MN 55126",Keller Williams Classic Rlty NW
"Shoreview, MN",https://photos.zillowstatic.com/fp/f16ade07e2602450928d4b6534c6acb2-p_e.jpg,https://www.zillow.com/homedetails/331X-Emmert-St-Saint-Paul-MN-55126/349071607_zpid/,"$255,000",,,,Lot / Land for sale,"331X Emmert St, Saint Paul, MN 55126","Edina Realty, Inc."
"Shoreview, MN",https://photos.zillowstatic.com/fp/c98e5a7d856f6594c698e01fdfe44e6a-p_e.jpg,https://www.zillow.com/homedetails/33XX-Emmert-St-Saint-Paul-MN-55126/349070904_zpid/,"$255,000",,,,Lot / Land for sale,"33XX Emmert St, Saint Paul, MN 55126","Edina Realty, Inc."
