keyword,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address,listing_by
,https://photos.zillowstatic.com/fp/b1ab32d72bf6cd935b02dec509e616d2-p_e.jpg,https://www.zillow.com/apartments/shoreview-mn/shoreview-grand/5Xt4L7/,"$1,220+",1,,,Shoreview Grand,"577 Harriet Ave, Saint Paul, MN",
,https://photos.zillowstatic.com/fp/2ded62587a25e86a7d55c21175ab2df2-p_e.jpg,https://www.zillow.com/apartments/shoreview-mn/emrik-sv/C48vdg/,"$1,450+",1,,,Emrik SV,"4043 Chatsworth St N, Saint Paul, MN",
,https://photos.zillowstatic.com/fp/ed2f47d5a6395dc2b96be80b9ee431bc-p_e.jpg,https://www.zillow.com/apartments/shoreview-mn/loden-sv/9HYB4k/,"$1,450+",1,,,Loden SV,"1005 Gramsie Rd, Saint Paul, MN",
,https://photos.zillowstatic.com/fp/3477effb2862b3520b1d8baf0f88e7bd-p_e.jpg,https://www.zillow.com/apartments/shoreview-mn/the-edison-at-rice-creek-i-and-ii/Bs5r5r/,"$1,620+",1,,,The Edison at Rice Creek I and II,"5891 Rice Creek Pkwy, Saint Paul, MN",
,https://photos.zillowstatic.com/fp/1d7ab6c520a8ca120f9c5587f0700b8f-p_e.jpg,https://www.zillow.com/apartments/shoreview-mn/the-mcmillan/BKwz6T/,"$1,525+",0,,,The McMillan,"157 Grass Lake Pl, Shoreview, MN",
,https://photos.zillowstatic.com/fp/7840c46a22a22d26dcc7627205c55873-p_e.jpg,https://www.zillow.com/homedetails/4044-Wilshire-Cir-Shoreview-MN-55126/2126755888_zpid/,"$2,150/mo",2,1.5,1400,Townhouse for rent,"4044 Wilshire Cir, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/70609223ad552252052c68219703b3bf-p_e.jpg,https://www.zillow.com/homedetails/Shoreview-MN-55126/2074333_zpid/,"$2,000/mo",1,1,1500,House for rent,"(undisclosed Address), Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/a7715500c153f0d35ba601d8a14e3052-p_e.jpg,https://www.zillow.com/homedetails/1697-Hillview-Rd-Shoreview-MN-55126/2048085_zpid/,"$2,395/mo",3,1.5,1357,House for rent,"1697 Hillview Rd, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/dcf32f71ed0aaf052a6de004c2b2994a-p_e.jpg,https://www.zillow.com/homedetails/185-Edgewater-Ave-Shoreview-MN-55126/2164248_zpid/,"$2,495/mo",3,2,1720,House for rent,"185 Edgewater Ave, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/ab2d9085ffbec414d714b475fbbab2ef-p_e.jpg,https://www.zillow.com/homedetails/768-County-Road-F-W-Saint-Paul-MN-55126/2068901927_zpid/,"$1,850/mo",2,1,1200,Townhouse for rent,"768 County Road F W, Saint Paul, MN 55126",
,https://photos.zillowstatic.com/fp/4506a55f4244ee7cad32102659b6087c-p_e.jpg,https://www.zillow.com/homedetails/1778-Hillview-Rd-Shoreview-MN-55126/2048108_zpid/,"$2,380/mo",3,1.5,1368,House for rent,"1778 Hillview Rd, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/b5faab8f159f9c5902b56a26f499e5af-p_e.jpg,https://www.zillow.com/homedetails/575-Gramsie-Rd-Shoreview-MN-55126/2125245_zpid/,"$2,795/mo",3,2,2618,House for rent,"575 Gramsie Rd, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/7cfbd64bf261b1e411055e534dace9d6-p_e.jpg,https://www.zillow.com/homedetails/5899-Carlson-St-Shoreview-MN-55126/2038855_zpid/,"$2,495/mo",4,2,1757,House for rent,"5899 Carlson St, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/1f9ec4e41cfd9971a76be42e6fb1e400-p_e.jpg,https://www.zillow.com/homedetails/594-Sherwood-Rd-Shoreview-MN-55126/2032960_zpid/,"$2,350/mo",3,2,1882,House for rent,"594 Sherwood Rd, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/7a808bfda408aee26f5ca903e7fdb28b-p_e.jpg,https://www.zillow.com/b/sherwood-saint-paul-mn-Ccf7zS/,$995+,1,,,Sherwood,"1510 W County Rd E, Saint Paul, MN",
,https://photos.zillowstatic.com/fp/ac977ecb4c19268f6d6a7dfc8f1efe40-p_e.jpg,https://www.zillow.com/homedetails/3461-Kent-St-APT-1207-Shoreview-MN-55126/2164039_zpid/,"$1,200/mo",1,1,750,Apartment for rent,"3461 Kent St APT 1207, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/4f20b17a4430bf4bef9e2a299886049d-p_e.jpg,https://www.zillow.com/homedetails/5972-Fernwood-St-Shoreview-MN-55126/2043740_zpid/,"$1,800/mo",2,1,1110,Townhouse for rent,"5972 Fernwood St, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/6ca5de3900f6e7f39cf93af71129b52e-p_e.jpg,https://www.zillow.com/homedetails/3399-Kent-St-APT-308-Shoreview-MN-55126/2163901_zpid/,"$1,600/mo",2,1.5,960,Apartment for rent,"3399 Kent St APT 308, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/10c3bcd64b04714686a10490dc0977f8-p_e.jpg,https://www.zillow.com/homedetails/150-Dennison-Ave-Shoreview-MN-55126/2121105_zpid/,"$2,650/mo",4,3,1878,House for rent,"150 Dennison Ave, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/565281c2ac2c8af561e0a7b8fe79a5c1-p_e.jpg,https://www.zillow.com/homedetails/345-Poplar-Dr-Shoreview-MN-55126/2033331_zpid/,"$2,899/mo",3,2,1792,House for rent,"345 Poplar Dr, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/4b2a27adef67ec56d723b6e988d70eee-p_e.jpg,https://www.zillow.com/homedetails/5966-Fernwood-St-Shoreview-MN-55126/2043753_zpid/,"$1,750/mo",2,1,1100,Townhouse for rent,"5966 Fernwood St, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/3ee663ec1a7daf04672d11c1a76471a9-p_e.jpg,https://www.zillow.com/homedetails/747-Cottage-Pl-Shoreview-MN-55126/2160298_zpid/,"$2,395/mo",4,1,1500,House for rent,"747 Cottage Pl, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/081ba1ca23670bab9016ebceb915a861-p_e.jpg,https://www.zillow.com/homedetails/400-Cardigan-Rd-Shoreview-MN-55126/2163732_zpid/,"$2,399/mo",4,2,2000,House for rent,"400 Cardigan Rd, Shoreview, MN 55126",
,https://photos.zillowstatic.com/fp/81e9f544da2369285de3539a6f348075-p_e.jpg,https://www.zillow.com/homedetails/1381-Knoll-Dr-Shoreview-MN-55126/2044445_zpid/,"$2,649/mo",3,2,2000,House for rent,"1381 Knoll Dr, Shoreview, MN 55126",
